country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_1635.tif,8173,160,0.589,58.9,0.3494,0,5.461
india,g0_1635.tif,8174,110,0.4049,40.49,0.495,0,5.461
india,g0_1635.tif,8175,114,0.4197,41.97,0.4198,0,3.231
india,g0_1635.tif,8176,108,0.3976,39.76,0.5676,1,3.231
india,g0_1635.tif,8177,162,0.5964,59.64,0.5703,1,4.82
india,g0_1651.tif,8253,343,1.2627,126.27,0.5324,1,6.775
india,g0_1651.tif,8254,317,1.167,116.7,0.2759,0,6.469
india,g0_1651.tif,8255,352,1.2958,129.58,0.5696,1,6.775
india,g0_1651.tif,8256,344,1.2664,126.64,0.5495,1,5.928
india,g0_1651.tif,8257,343,1.2627,126.27,0.5281,1,5.581
india,g0_1687.tif,8433,96,0.3534,35.34,0.6505,1,4.397
india,g0_1687.tif,8434,60,0.2209,22.09,0.2342,0,2.825
india,g0_1687.tif,8435,52,0.1914,19.14,0.2258,0,2.107
india,g0_1687.tif,8436,102,0.3755,37.55,0.3504,0,4.247
india,g0_1687.tif,8437,59,0.2172,21.72,0.2703,0,2.107
india,g0_1721.tif,8603,100,0.3681,36.81,0.4121,0,2.107
india,g0_1721.tif,8604,100,0.3681,36.81,0.4236,0,4.247
india,g0_1721.tif,8605,83,0.3055,30.55,0.4458,0,4.247
india,g0_1721.tif,8606,135,0.497,49.7,0.3425,0,4.247
india,g0_1721.tif,8607,231,0.8504,85.04,0.3723,0,5.461
india,g0_1762.tif,8808,119,0.4381,43.81,0.2622,0,4.542
india,g0_1762.tif,8809,94,0.346,34.6,0.2393,0,3.768
india,g0_1762.tif,8810,77,0.2835,28.35,0.3419,0,3.768
india,g0_1762.tif,8811,101,0.3718,37.18,0.3397,0,3.768
india,g0_1762.tif,8812,91,0.335,33.5,0.4394,0,4.397
india,g0_1776.tif,8878,78,0.2871,28.71,0.4884,0,3.231
india,g0_1776.tif,8879,69,0.254,25.4,0.3456,0,3.034
india,g0_1776.tif,8880,61,0.2246,22.46,0.7746,1,3.768
india,g0_1776.tif,8881,115,0.4233,42.33,0.3692,0,3.768
india,g0_1776.tif,8882,51,0.1877,18.77,0.4479,0,3.034
india,g0_1794.tif,8968,50,0.1841,18.41,0.2391,0,3.231
india,g0_1794.tif,8969,41,0.1509,15.09,0.2174,0,2.825
india,g0_1794.tif,8970,71,0.2614,26.14,0.3619,0,3.231
india,g0_1794.tif,8971,39,0.1436,14.36,0.4789,0,2.107
india,g0_1794.tif,8972,43,0.1583,15.83,0.3133,0,2.825
india,g0_1806.tif,9028,254,0.935,93.5,0.5434,1,8.635
india,g0_1806.tif,9029,209,0.7694,76.94,0.4424,0,7.533
india,g0_1806.tif,9030,208,0.7657,76.57,0.4356,0,4.397
india,g0_1806.tif,9031,133,0.4896,48.96,0.451,0,3.034
india,g0_1806.tif,9032,120,0.4418,44.18,0.6774,1,5.928
india,g0_1820.tif,9098,19,0.0699,6.99,0.2099,0,1.82
india,g0_1820.tif,9099,38,0.1399,13.99,0.475,0,3.034
india,g0_1820.tif,9100,28,0.1031,10.31,0.2692,0,2.107
india,g0_1820.tif,9101,38,0.1399,13.99,0.065,0,2.825
india,g0_1820.tif,9102,44,0.162,16.2,0.5082,1,3.034
india,g0_1822.tif,9108,111,0.4086,40.86,0.4138,0,4.247
india,g0_1822.tif,9109,88,0.324,32.4,0.4274,0,3.034
india,g0_1822.tif,9110,83,0.3055,30.55,0.0989,0,3.034
india,g0_1822.tif,9111,97,0.3571,35.71,0.1374,0,3.231
india,g0_1822.tif,9112,101,0.3718,37.18,0.1297,0,3.034
india,g0_1839.tif,9193,47,0.173,17.3,0.2143,0,1.82
india,g0_1839.tif,9194,183,0.6737,67.37,0.7647,1,7.068
india,g0_1839.tif,9195,81,0.2982,29.82,0.6311,1,3.768
india,g0_1839.tif,9196,251,0.924,92.4,0.3347,0,9.101
india,g0_1839.tif,9197,267,0.9829,98.29,0.8007,1,9.101
india,g0_1845.tif,9223,87,0.3203,32.03,0.3333,0,3.231
india,g0_1845.tif,9224,70,0.2577,25.77,0.4043,0,2.825
india,g0_1845.tif,9225,123,0.4528,45.28,0.5309,1,4.397
india,g0_1845.tif,9226,74,0.2724,27.24,0.2169,0,2.825
india,g0_1845.tif,9227,117,0.4307,43.07,0.2703,0,4.542
india,g0_1850.tif,9248,64,0.2356,23.56,0.1554,0,4.247
india,g0_1850.tif,9249,35,0.1288,12.88,0.2209,0,1.82
india,g0_1850.tif,9250,120,0.4418,44.18,0.3353,0,4.247
india,g0_1850.tif,9251,54,0.1988,19.88,0.2784,0,3.034
india,g0_1850.tif,9252,76,0.2798,27.98,0.2353,0,2.107
india,g0_1869.tif,9343,119,0.4381,43.81,0.3239,0,5.461
india,g0_1869.tif,9344,243,0.8946,89.46,0.3763,0,7.533
india,g0_1869.tif,9345,67,0.2466,24.66,0.4091,0,3.768
india,g0_1869.tif,9346,237,0.8725,87.25,0.2439,0,7.974
india,g0_1869.tif,9347,176,0.6479,64.79,0.4087,0,5.928
india,g0_1901.tif,9503,88,0.324,32.4,0.3265,0,4.247
india,g0_1901.tif,9504,77,0.2835,28.35,0.4472,0,4.247
india,g0_1901.tif,9505,273,1.005,100.5,0.2711,0,6.674
india,g0_1901.tif,9506,195,0.7178,71.78,0.4019,0,7.068
india,g0_1901.tif,9507,204,0.751,75.1,0.3284,0,5.461
india,g0_1922.tif,9608,60,0.2209,22.09,0.3056,0,4.247
india,g0_1922.tif,9609,213,0.7841,78.41,0.72,1,7.888
india,g0_1922.tif,9610,104,0.3829,38.29,0.4777,0,4.247
india,g0_1922.tif,9611,263,0.9682,96.82,0.573,1,9.101
india,g0_1922.tif,9612,80,0.2945,29.45,0.6344,1,4.247
india,g0_1938.tif,9688,138,0.508,50.8,0.3048,0,5.461
india,g0_1938.tif,9689,100,0.3681,36.81,0.2044,0,4.247
india,g0_1938.tif,9690,213,0.7841,78.41,0.6418,1,5.461
india,g0_1938.tif,9691,87,0.3203,32.03,0.6077,1,3.768
india,g0_1938.tif,9692,163,0.6,60.0,0.7095,1,6.674
india,g0_1951.tif,9753,63,0.2319,23.19,0.4127,0,3.768
india,g0_1951.tif,9754,60,0.2209,22.09,0.2256,0,3.034
india,g0_1951.tif,9755,81,0.2982,29.82,0.3045,0,4.247
india,g0_1951.tif,9756,33,0.1215,12.15,0.1241,0,2.825
india,g0_1951.tif,9757,43,0.1583,15.83,0.7333,1,3.034
india,g0_1985.tif,9923,273,1.005,100.5,0.231,0,8.227
india,g0_1985.tif,9924,414,1.5241,152.41,0.1986,0,11.528
india,g0_1985.tif,9925,45,0.1657,16.57,0.2982,0,3.034
india,g0_1985.tif,9926,74,0.2724,27.24,0.3636,0,3.231
india,g0_1985.tif,9927,128,0.4712,47.12,0.3077,0,4.82
india,g1_0255.tif,1276,27,0.0994,9.94,0.1276,0,1.82
india,g1_0255.tif,1277,13,0.0479,4.79,0.2131,0,1.82
india,g1_0255.tif,1278,32,0.1178,11.78,0.2472,0,1.82
india,g1_0255.tif,1279,29,0.1068,10.68,0.132,0,1.82
india,g1_0255.tif,1280,19,0.0699,6.99,0.2698,0,1.82
india,g1_0263.tif,1317,34,0.1252,12.52,0.4182,0,3.034
india,g1_0263.tif,1318,122,0.4491,44.91,0.5373,1,5.581
india,g1_0263.tif,1319,21,0.0773,7.73,0.1818,0,2.107
